[2010-03-06 23:30] [IC: Local Do] * What does Troy see? *      ((LaTroy Linus))
[2010-03-07 14:30] [IC: Local Do] * Ruurd face is bleeding. *      ((Leonardo Riba))
[2010-03-07 14:31] [IC: Local Do] * succeed? *      ((Daniel Baker))
[2010-03-07 14:31] [IC: Local Do] * succeed *      ((Oscar Acosta))
[2010-03-07 14:31] [IC: Local Do] * Any resistance ?^ *      ((Leonardo Riba))
[2010-03-07 14:31] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:31] [IC: Local Do] * No resistance *      ((Fernando Serrano))
[2010-03-07 14:31] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:31] [IC: Local Do] * succeed *      ((Oscar Acosta))
[2010-03-07 14:31] [IC: Local Do] * Do I find any wallet ? *      ((Leonardo Riba))
[2010-03-07 14:32] [IC: Local Do] * 1/3 *      ((Vladimir Burin))
[2010-03-07 14:32] [IC: Local Do] * 2/3 *      ((Vladimir Burin))
[2010-03-07 14:32] [IC: Local Do] * 3/3 *      ((Vladimir Burin))
[2010-03-07 14:32] [IC: Local Do] * yes *      ((Ruurd Spoel))
[2010-03-07 14:32] [IC: Local Do] * How much money inside the wallet? *      ((Fernando Serrano))
[2010-03-07 14:32] [IC: Local Do] * 11 *      ((Ruurd Spoel))
[2010-03-07 14:32] [IC: Local Do] * Succed *      ((Frank Paterno))
[2010-03-07 14:32] [IC: Local Do] * do i find any ID on Frank ? anything illegal ? *      ((Mauricio Romero))
[2010-03-07 14:32] [IC: Local Do] * No *      ((Frank Paterno))
[2010-03-07 14:32] [IC: Local Do] * Do I find a license? *      ((Daniel Baker))
[2010-03-07 14:33] [IC: Local Do] * Yes *      ((Oscar Acosta))
[2010-03-07 14:33] [IC: Local Do] * Just licenses *      ((Frank Paterno))
[2010-03-07 14:33] [IC: Local Do] * Name: Oscar Acosta *      ((Daniel Baker))
[2010-03-07 14:33] [IC: Local Do] * what licenses ? *      ((Mauricio Romero))
[2010-03-07 14:33] [IC: Local Do] * Age: ? *      ((Daniel Baker))
[2010-03-07 14:33] [IC: Local Do] * Driving *      ((Frank Paterno))
[2010-03-07 14:33] [IC: Local Do] * Do i find something else ? *      ((Leonardo Riba))
[2010-03-07 14:33] [IC: Local Do] * and ? *      ((Mauricio Romero))
[2010-03-07 14:33] [IC: Local Do] * what is your age? *      ((Daniel Baker))
[2010-03-07 14:33] [IC: Local Do] * Age 32 *      ((Oscar Acosta))
[2010-03-07 14:33] [IC: Local Do] * Just driving *      ((Frank Paterno))
[2010-03-07 14:33] [IC: Local Do] * Age: 32 years. *      ((Daniel Baker))
[2010-03-07 14:33] [IC: Local Do] * and Registration in other pocket *      ((Frank Paterno))
[2010-03-07 14:33] [IC: Local Do] * window down? *      ((Joshua Fraser))
[2010-03-07 14:33] [IC: Local Do] * yes *      ((Clyde Sharow))
[2010-03-07 14:34] [IC: Local Do] * Registration Name : Frank Paterno *      ((Frank Paterno))
[2010-03-07 14:35] [IC: Local Do] * Succeed ? *      ((Leonardo Riba))
[2010-03-07 14:35] [IC: Local Do] * I succed ? *      ((Leonardo Riba))
[2010-03-07 14:35] [IC: Local Do] * Roger is holding a phone. *      ((Roger Woods))
[2010-03-07 14:35] [IC: Local Do] * yes *      ((Ruurd Spoel))
[2010-03-07 14:36] [IC: Local Do] * Dougie has a strong Scottish accent. *      ((Dougie MacKenzie))
[2010-03-07 14:36] [IC: Local Do] * Are you K.O ? *      ((Leonardo Riba))
[2010-03-07 14:37] [IC: Local Do] * you see a suitcase cuffed to my hand- *      ((Vincenzo Corleone))
[2010-03-07 14:38] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:38] [IC: Local Do] * succeed *      ((Oscar Acosta))
[2010-03-07 14:39] [IC: Local Do] * bar lady puts the Rum on the counter *      ((Osiris Mansell))
[2010-03-07 14:40] [IC: Local Do] * my windows are down *      ((Jack Shakur))
[2010-03-07 14:41] [IC: Local Do] * pull it back up. *      ((Nina Lukina))
[2010-03-07 14:42] [IC: Local Do] * Access granted. *      ((Roger Woods))
[2010-03-07 14:42] [IC: Local Do] * Access grantd. *      ((Roger Woods))
[2010-03-07 14:44] [IC: Local Do] * The barmaid takes a bottle of whiskey from the fridge or w/e and places it on the counter. *      ((LaTroy Linus))
[2010-03-07 14:45] [IC: Local Do] * head as she eyes Nina. *      ((Aylena Kuznetsova))
[2010-03-07 14:45] [IC: Local Do] * Vlad is sleeping on backseat *      ((Vladimir Burin))
[2010-03-07 14:46] [IC: Local Do] * Me gets inside *      ((Frank Paterno))
[2010-03-07 14:48] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 14:49] [IC: Local Do] * afterwards. *      ((LaTroy Linus))
[2010-03-07 14:52] [IC: Local Do] * Succed, you are K.O. *      ((Leonardo Riba))
[2010-03-07 14:52] [IC: Local Do] * Describes Ray Jerome *      ((Patrick Andersson))
[2010-03-07 14:54] [IC: Local Do] * Vlad is slepping on the backpack *      ((Vladimir Burin))
[2010-03-07 14:54] [IC: Local Do] * You can see a small buldog puppie curled up sleeping on the passenger seat of the Blade *      ((Caesar Vasquez))
[2010-03-07 14:54] [IC: Local Do] * After 1 Year *      ((Frank Paterno))
[2010-03-07 14:55] [IC: Local Do] * The puppie slowly wakes up, yawning *      ((Caesar Vasquez))
[2010-03-07 14:56] [IC: Local Do] * forwards as she closes her eyes. *      ((Nina Lukina))
[2010-03-07 14:56] [IC: Local Do] * The puppy sits straight, tongue hanging ou of the mouth, fastly shaking it small tail *      ((Caesar Vasquez))
[2010-03-07 14:56] [IC: Local Do] * rub it in circles, slowly. *      ((Aylena Kuznetsova))
[2010-03-07 14:57] [IC: Local Do] * You can hear a small puppie barking *      ((Caesar Vasquez))
[2010-03-07 14:57] [IC: Local Do] * as she downs her thumb over her nipple. *      ((Aylena Kuznetsova))
[2010-03-07 14:57] [IC: Local Do] * The puppie lays back down yawns and slowly starts falling asleep again *      ((Caesar Vasquez))
[2010-03-07 14:58] [IC: Local Do] * she then locks her lips together at the center, starting to suck over her vagina. *      ((Aylena Kuznetsova))
[2010-03-07 14:58] [IC: Local Do] * A small bulldog puppie can be seen sleeping on the passenger seat of the Blade *      ((Caesar Vasquez))
[2010-03-07 14:59] [IC: Local Do] * Vlad is sleeping on backseat *      ((Vladimir Burin))
[2010-03-07 14:59] [IC: Local Do] * she moans softly, then bites on her bottom lip. *      ((Nina Lukina))
[2010-03-07 14:59] [IC: Local Do] * Door open when I pull it? *      ((Arraminta Brenkly))
[2010-03-07 14:59] [IC: Local Do] * I dont know *      ((Vladimir Burin))
[2010-03-07 14:59] [IC: Local Do] * Try *      ((Vladimir Burin))
[2010-03-07 14:59] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 14:59] [IC: Local Do] * has a radio tucked in his belt and a cellphone *      ((Clark Smith))
[2010-03-07 14:59] [IC: Local Do] * yes *      ((Denis Valujev))
[2010-03-07 15:00] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 15:00] [IC: Local Do] * cupping her flat hand over it now. *      ((Aylena Kuznetsova))
[2010-03-07 15:00] [IC: Local Do] * yes *      ((Denis Valujev))
[2010-03-07 15:00] [IC: Local Do] * Vlad is laying on the backseat sleeping *      ((Vladimir Burin))
[2010-03-07 15:00] [IC: Local Do] * The puppie scares and quickly looks up *      ((Caesar Vasquez))
[2010-03-07 15:00] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 15:00] [IC: Local Do] * nipple, rubbing it up and down a little. *      ((Aylena Kuznetsova))
[2010-03-07 15:00] [IC: Local Do] * yes *      ((Denis Valujev))
[2010-03-07 15:01] [IC: Local Do] * slurping now and then, slowly twirling her tongue down into her. *      ((Aylena Kuznetsova))
[2010-03-07 15:02] [IC: Local Do] * in a while. *      ((Nina Lukina))
[2010-03-07 15:02] [IC: Local Do] * Succeeds? *      ((Akio Katashi))
[2010-03-07 15:02] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 15:02] [IC: Local Do] * pushing it down deep, licking her out as she returns to sucking, really hard now as she *      ((Aylena Kuznetsova))
[2010-03-07 15:02] [IC: Local Do] * squints her eyes, breathing through her nose rather hard. *      ((Aylena Kuznetsova))
[2010-03-07 15:03] [IC: Local Do] * yes *      ((Vladimir Burin))
[2010-03-07 15:03] [IC: Local Do] * Succeeds? *      ((Akio Katashi))
[2010-03-07 15:03] [IC: Local Do] * Yes *      ((Vladimir Burin))
[2010-03-07 15:03] [IC: Local Do] * Click *      ((Akio Katashi))
[2010-03-07 15:04] [IC: Local Do] * sweats a bit. *      ((Nina Lukina))
[2010-03-07 15:05] [IC: Local Do] * nipple between her index and middle finger, squeezing again as she turns the nipple in *      ((Aylena Kuznetsova))
[2010-03-07 15:05] [IC: Local Do] * between as she presses her breast up and down, often squeezing and loosening up. *      ((Aylena Kuznetsova))
[2010-03-07 15:05] [IC: Local Do] * Succeed *      ((Vladimir Burin))
[2010-03-07 15:05] [IC: Local Do] * She pinches Nina's clitoris, pulling on it a little as she continue's turning, sometimes *      ((Aylena Kuznetsova))
[2010-03-07 15:05] [IC: Local Do] * rubbing it down and re-taking it. *      ((Aylena Kuznetsova))
[2010-03-07 15:06] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 15:06] [IC: Local Do] * yes *      ((Denis Valujev))
[2010-03-07 15:06] [IC: Local Do] * drewling as she remains sucking, whirling her tongue back and forth down deep in her. *      ((Aylena Kuznetsova))
[2010-03-07 15:08] [IC: Local Do] * A small white english bulldog puppie can be seen sitting on the passenger seat of the Blade *      ((Caesar Vasquez))
[2010-03-07 15:10] [IC: Local Do] * Windows down? *      ((Carol Andersson))
[2010-03-07 15:10] [IC: Local Do] * Yes *      ((Marshal Carfield))
[2010-03-07 15:10] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:10] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:11] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:11] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 15:11] [IC: Local Do] * Yes *      ((Vladimir Burin))
[2010-03-07 15:11] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:11] [IC: Local Do] * then sits back up and kisses Aylena passionately. *      ((Nina Lukina))
[2010-03-07 15:11] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:12] [IC: Local Do] * Where is it? *      ((Arraminta Brenkly))
[2010-03-07 15:13] [IC: Local Do] * adjusting it a bit until it's warm, then steps under it and washes herself. *      ((Nina Lukina))
[2010-03-07 15:14] [IC: Local Do] * There's a closed door there! *      ((Nina Lukina))
[2010-03-07 15:15] [IC: Local Do] * Is it colt or what? *      ((Mike Taylor))
[2010-03-07 15:15] [IC: Local Do] * Beretta 92 FS. *      ((LaTroy Linus))
[2010-03-07 15:15] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:15] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 15:16] [IC: Local Do] * Yes *      ((Vladimir Burin))
[2010-03-07 15:16] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 15:17] [IC: Local Do] * buttons them before clipping her bra back on and finally pulling her shirt over her head. *      ((Nina Lukina))
[2010-03-07 15:17] [IC: Local Do] * It's closed. *      ((LaTroy Linus))
[2010-03-07 15:17] [IC: Local Do] * Do I see a backup behind Vlad? *      ((Daniel Baker))
[2010-03-07 15:17] [IC: Local Do] * Yes *      ((Vladimir Burin))
[2010-03-07 15:17] [IC: Local Do] * Do I find a license? *      ((Daniel Baker))
[2010-03-07 15:18] [IC: Local Do] * Yes *      ((Vladimir Burin))
[2010-03-07 15:18] [IC: Local Do] * A small white english bulldog puppy can be seen sitting on the passengerseat of the Blade *      ((Caesar Vasquez))
[2010-03-07 15:20] [IC: Local Do] * Officer says: Yes *      ((Vladimir Burin))
[2010-03-07 15:21] [IC: Local Do] * Nathan has a brown nylon backpack hanged by one side on his back. *      ((Nathan Spencer))
[2010-03-07 15:22] [IC: Local Do] * The puppie follows Caesar, but sometimes falls as it walks *      ((Caesar Vasquez))
[2010-03-07 15:22] [IC: Local Do] * visible injuries? *      ((Osiris Mansell))
[2010-03-07 15:22] [IC: Local Do] * bleeding head *      ((Thomas Bozzo))
[2010-03-07 15:22] [IC: Local Do] * The puppie notices the basketball and quickly runs towards it *      ((Caesar Vasquez))
[2010-03-07 15:23] [IC: Local Do] * Nathan has a brown nylon backpack hanged by one side on his back. *      ((Nathan Spencer))
[2010-03-07 15:24] [IC: Local Do] * The puppie jumps against the ball making it roll forwards and he quickly runs after it *      ((Caesar Vasquez))
[2010-03-07 15:24] [IC: Local Do] * what do i see ? *      ((Mauricio Romero))
[2010-03-07 15:25] [IC: Local Do] * The ball rolls 3 metres forward and the puppie starts running around it *      ((Caesar Vasquez))
[2010-03-07 15:25] [IC: Local Do] * As the puppie gets tired it slowly walks towards Caesar *      ((Caesar Vasquez))
[2010-03-07 15:27] [IC: Local Do] * The puppie yawns and lays against Caesar leg as it falls asleep *      ((Caesar Vasquez))
[2010-03-07 15:28] [IC: Local Do] * you see a Kings of Cajun CD *      ((Osiris Mansell))
[2010-03-07 15:30] [IC: Local Do] * windows rattle *      ((Roger Scoonez))
[2010-03-07 15:31] [IC: Local Do] * Fucked up, dripped up line around the car. *      ((LaTroy Linus))
[2010-03-07 15:32] [IC: Local Do] * You see a small white english bulldog puppie sleeping nexto Caesar *      ((Caesar Vasquez))
[2010-03-07 15:33] [IC: Local Do] * The puppie yawns as it wakes up and looks at Santiago *      ((Caesar Vasquez))
[2010-03-07 15:33] [IC: Local Do] * None *      ((Kate Rizaru))
[2010-03-07 15:35] [IC: Local Do] * The the dog waggles it small tail from left to right as it tries biting in Santiago's hand *      ((Caesar Vasquez))
[2010-03-07 15:36] [IC: Local Do] * smirks. *      ((Aylena Kuznetsova))
[2010-03-07 15:38] [IC: Local Do] * succed *      ((Cesar Casanova))
[2010-03-07 15:38] [IC: Local Do] * succed? *      ((Cesar Casanova))
[2010-03-07 15:38] [IC: Local Do] * is now naked *      ((Kate Rizaru))
[2010-03-07 15:39] [IC: Local Do] * Succed ? *      ((Leonardo Riba))
[2010-03-07 15:39] [IC: Local Do] * unsuccefull *      ((Cesar Casanova))
[2010-03-07 15:39] [IC: Local Do] * It's Osiris's trousers *      ((Osiris Mansell))
[2010-03-07 15:40] [IC: Local Do] * You see the leo's face bleeding. *      ((Leonardo Riba))
[2010-03-07 15:40] [IC: Local Do] * The dog starts walking around on the couch, sniffing it *      ((Caesar Vasquez))
[2010-03-07 15:40] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 15:41] [IC: Local Do] * Diablo starts scratching in the corner signing there is something there *      ((Caesar Vasquez))
[2010-03-07 15:41] [IC: Local Do] * Does he barks? *      ((Santiago Cortez))
[2010-03-07 15:41] [IC: Local Do] * Nio *      ((Caesar Vasquez))
[2010-03-07 15:42] [IC: Local Do] * diablo barks twice looking at Caesar *      ((Caesar Vasquez))
[2010-03-07 15:42] [IC: Local Do] * What do i find? *      ((Santiago Cortez))
[2010-03-07 15:42] [IC: Local Do] * You find a small chicken bone *      ((Caesar Vasquez))
[2010-03-07 15:42] [IC: Local Do] * *SLAM* *      ((Marshal Carfield))
[2010-03-07 15:42] [IC: Local Do] * It are cuffs, a radio, a knife a first-aid kit, and a torch *      ((Eleonora Lombardi))
[2010-03-07 15:43] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 15:43] [IC: Local Do] * Diablo happily takes it shaking his tail and starts biting on it *      ((Caesar Vasquez))
[2010-03-07 15:43] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 15:43] [IC: Local Do] * You see tears of blood on my face. *      ((Leonardo Riba))
[2010-03-07 15:43] [IC: Local Do] * There's a place to hang a bag at your asscheek, a place to hang cuffs and a torch *      ((Eleonora Lombardi))
[2010-03-07 15:43] [IC: Local Do] * and there's a place to hang a holstered knife. *      ((Eleonora Lombardi))
[2010-03-07 15:44] [IC: Local Do] * facing yong *      ((Clark Smith))
[2010-03-07 15:44] [IC: Local Do] * kings of cajun track 4 starts skipping a bit *      ((Osiris Mansell))
[2010-03-07 15:45] [IC: Local Do] * White skin,Hooded,Blue pants,White sneakers. *      ((Santiago Cortez))
[2010-03-07 15:46] [IC: Local Do] * Yong's adams apple goes down *      ((Yong Ong))
[2010-03-07 15:47] [IC: Local Do] * Diablo jumps of the couch with the bone still in his mouth *      ((Caesar Vasquez))
[2010-03-07 15:47] [IC: Local Do] * Diablo walks close behind Caesar *      ((Caesar Vasquez))
[2010-03-07 15:48] [IC: Local Do] * some more. *      ((Aylena Kuznetsova))
[2010-03-07 15:48] [IC: Local Do] * Succeed *      ((Yong Ong))
[2010-03-07 15:49] [IC: Local Do] * diablo suddenly runs forward over the street *      ((Caesar Vasquez))
[2010-03-07 15:50] [IC: Local Do] * Diablo slowly walks back towards Caesar *      ((Caesar Vasquez))
[2010-03-07 15:50] [IC: Local Do] * What Do i See ? *      ((Leonardo Riba))
[2010-03-07 15:51] [IC: Local Do] * You see little tears of blood , to my head. *      ((Leonardo Riba))
[2010-03-07 15:51] [IC: Local Do] * You can see a small white bulldog puppie standing between Caesar and Santiago *      ((Caesar Vasquez))
[2010-03-07 15:51] [IC: Local Do] * Pack! *      ((Yong Ong))
[2010-03-07 15:51] [IC: Local Do] * The puppie steps back while barking *      ((Caesar Vasquez))
[2010-03-07 15:52] [IC: Local Do] * Succeed? *      ((Yong Ong))
[2010-03-07 15:53] [IC: Local Do] * smokelean *      ((Chris Gambetti))
[2010-03-07 15:53] [IC: Local Do] * Diablo slowly appraoches Leonardo, sniffing his pants *      ((Caesar Vasquez))
[2010-03-07 15:53] [IC: Local Do] * trys to pull his feet away to get him on the floor *      ((Eleonora Lombardi))
[2010-03-07 15:54] [IC: Local Do] * Succeed? *      ((Yong Ong))
[2010-03-07 15:54] [IC: Local Do] * Diablo runs after Caesar as he walks away *      ((Caesar Vasquez))
[2010-03-07 15:55] [IC: Local Do] * Legs against eachother? *      ((Kate Rizaru))
[2010-03-07 15:55] [IC: Local Do] * No. *      ((Aylena Kuznetsova))
[2010-03-07 15:55] [IC: Local Do] * it says - $ 250 for speeding - 16 km's per hour over the limit *      ((Mauricio Romero))
[2010-03-07 15:55] [IC: Local Do] * Diablo runs inside the building *      ((Caesar Vasquez))
[2010-03-07 15:57] [IC: Local Do] * Succeed? *      ((Yong Ong))
[2010-03-07 15:58] [IC: Local Do] * You see some tools on his belt *      ((Yong Ong))
[2010-03-07 15:58] [IC: Local Do] * I haz a pepperspray holster, and a shoulder holster(gun) *      ((Katy Clark))
[2010-03-07 15:59] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:00] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:00] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:00] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:01] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:01] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 16:05] [IC: Local Do] * Whats inside? *      ((Frank Paterno))
[2010-03-07 16:06] [IC: Local Do] * A holstered knife, a radio, a first aid-kit, a brown uniform, cuffs and a torc *      ((Eleonora Lombardi))
[2010-03-07 16:18] [IC: Local Do] * You see an scar on his left cheek. *      ((Justin McKaine))
[2010-03-07 16:18] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 16:21] [IC: Local Do] * a large box can be seen lying on the ground *      ((Caesar Vasquez))
[2010-03-07 16:21] [IC: Local Do] * Metal frameworks can be seen *      ((Caesar Vasquez))
[2010-03-07 16:23] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 16:23] [IC: Local Do] * A small white english bulldog puppie comes running from the kitchen *      ((Caesar Vasquez))
[2010-03-07 16:23] [IC: Local Do] * Diablo jumps up against Caesar's legs *      ((Caesar Vasquez))
[2010-03-07 16:24] [IC: Local Do] * Diablo slowly walks and looks at Caesar with puppie eyes *      ((Caesar Vasquez))
[2010-03-07 16:26] [IC: Local Do] * Diablo stares at Caesar with an empty look in his eyes *      ((Caesar Vasquez))
[2010-03-07 16:27] [IC: Local Do] * Diablo immediatly starts eating the cookies *      ((Caesar Vasquez))
[2010-03-07 16:27] [IC: Local Do] * diablo barks as Caesar walks away *      ((Caesar Vasquez))
[2010-03-07 16:28] [IC: Local Do] * The ATM machine screen shown " loading " *      ((Justin McKaine))
[2010-03-07 16:28] [IC: Local Do] * There's a Holstered knife in a brown, leather holster, a Black torch and cuffs *      ((Eleonora Lombardi))
[2010-03-07 16:29] [IC: Local Do] * The ATM machine, has writdraw 100$ to Mr. McKaine Justin. *      ((Justin McKaine))
[2010-03-07 16:29] [IC: Local Do] * The sun reflects onto the metal, everyone can see the Cuffs very well *      ((Eleonora Lombardi))
[2010-03-07 16:30] [IC: Local Do] * suceeds *      ((Kate Rizaru))
[2010-03-07 16:31] [IC: Local Do] * Nathan got hitted by Stratum *      ((Mauricio Romero))
[2010-03-07 16:31] [IC: Local Do] * brake lines behind Stratum *      ((Mauricio Romero))
[2010-03-07 16:31] [IC: Local Do] * tinted windows *      ((Mauricio Romero))
[2010-03-07 16:33] [IC: Local Do] * any gang signs? *      ((Caesar Vasquez))
[2010-03-07 16:33] [IC: Local Do] * Blood is flowing out Nathan's mouth *      ((Nathan Spencer))
[2010-03-07 16:36] [IC: Local Do] * The door crushes up as a clamp crushes it *      ((John Brenkly))
[2010-03-07 16:37] [IC: Local Do] * Frank's hand still in air *      ((Katy Clark))
[2010-03-07 16:37] [IC: Local Do] * Katy's arm is down already *      ((Katy Clark))
[2010-03-07 16:38] [IC: Local Do] * You see a belt. *      ((Ellis DeCastro))
[2010-03-07 16:38] [IC: Local Do] * Your hand raised in the air? *      ((Eleonora Lombardi))
[2010-03-07 16:38] [IC: Local Do] * No *      ((Yong Ong))
[2010-03-07 16:39] [IC: Local Do] * si there s fuel leake *      ((Nick Rose))
[2010-03-07 16:39] [IC: Local Do] * yes *      ((Nick Rose))
[2010-03-07 16:40] [IC: Local Do] * You can see blood flowing out of his mouth *      ((Nathan Spencer))
[2010-03-07 16:41] [IC: Local Do] * still concious? *      ((Lason Yates))
[2010-03-07 16:41] [IC: Local Do] * Barely *      ((Nathan Spencer))
[2010-03-07 16:41] [IC: Local Do] * You can see blood flowing out Nathan's mouth *      ((Nathan Spencer))
[2010-03-07 16:41] [IC: Local Do] * 1/5 *      ((Nick Rose))
[2010-03-07 16:41] [IC: Local Do] * 2/5 *      ((Nick Rose))
[2010-03-07 16:41] [IC: Local Do] * 3/5 *      ((Nick Rose))
[2010-03-07 16:41] [IC: Local Do] * 4/5 *      ((Nick Rose))
[2010-03-07 16:41] [IC: Local Do] * 5/5 *      ((Nick Rose))
[2010-03-07 16:41] [IC: Local Do] * the plaster is applied *      ((Nick Rose))
[2010-03-07 16:42] [IC: Local Do] * locked *      ((Osiris Mansell))
[2010-03-07 16:42] [IC: Local Do] * locke *      ((Osiris Mansell))
[2010-03-07 16:42] [IC: Local Do] * You can see Nathan's slowly closing his eyes ; fading away *      ((Nathan Spencer))
[2010-03-07 16:43] [IC: Local Do] * Where it it? *      ((Turell Yates))
[2010-03-07 16:43] [IC: Local Do] * Is it open? *      ((Justin McKaine))
[2010-03-07 16:43] [IC: Local Do] * The key's in the backpocket *      ((Nathan Spencer))
[2010-03-07 16:44] [IC: Local Do] * Do i hear any accent on you Pablo ? *      ((Leonardo Riba))
[2010-03-07 16:44] [IC: Local Do] * bucket has sand in it *      ((Nick Rose))
[2010-03-07 16:44] [IC: Local Do] * 1/4 *      ((Nick Rose))
[2010-03-07 16:44] [IC: Local Do] * 2/4 *      ((Nick Rose))
[2010-03-07 16:44] [IC: Local Do] * 3/4 *      ((Nick Rose))
[2010-03-07 16:44] [IC: Local Do] * 4/4 *      ((Nick Rose))
[2010-03-07 16:44] [IC: Local Do] * Do i hear any accent on you Pablo ? *      ((Leonardo Riba))
[2010-03-07 16:45] [IC: Local Do] * 1/3 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * 2/3 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * 3/3 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * the fuel is soaked up *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * 1/4 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * 2/4 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * 3/4 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * 4/4 *      ((Nick Rose))
[2010-03-07 16:45] [IC: Local Do] * His eyes finally close , as he passes out *      ((Nathan Spencer))
[2010-03-07 16:45] [IC: Local Do] * You can see blood flowing out of his mouth *      ((Nathan Spencer))
[2010-03-07 16:46] [IC: Local Do] * And you can see Nathan's right hand is holding onto his left rib *      ((Nathan Spencer))
[2010-03-07 16:46] [IC: Local Do] * You can see Caesar carrying a big bag af dog food *      ((Caesar Vasquez))
[2010-03-07 16:46] [IC: Local Do] * Succeds , Nathan's only 18 years old so he's not that heavy *      ((Nathan Spencer))
[2010-03-07 16:47] [IC: Local Do] * The pulse is pretty down. *      ((Nathan Spencer))
[2010-03-07 16:47] [IC: Local Do] * Heavy breathing *      ((Nathan Spencer))
[2010-03-07 16:48] [IC: Local Do] * No visible injuries *      ((Nathan Spencer))
[2010-03-07 16:49] [IC: Local Do] * Succeds *      ((Nathan Spencer))
[2010-03-07 16:49] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:49] [IC: Local Do] * Screen: Access granted, hello cadet Romero. *      ((Mauricio Romero))
[2010-03-07 16:50] [IC: Local Do] * windows are down *      ((Marshal Carfield))
[2010-03-07 16:50] [IC: Local Do] * You can hear Nathan's heavy breathing *      ((Nathan Spencer))
[2010-03-07 16:51] [IC: Local Do] * Succeds *      ((Nathan Spencer))
[2010-03-07 16:53] [IC: Local Do] * S *      ((Eli Carter))
[2010-03-07 16:56] [IC: Local Do] * You see Caesar carrying a big bag of dog food on his shoulder *      ((Caesar Vasquez))
[2010-03-07 16:56] [IC: Local Do] * BVM right *      ((Patrick Woulfe))
[2010-03-07 16:56] [IC: Local Do] * ? *      ((Patrick Woulfe))
[2010-03-07 16:56] [IC: Local Do] * Yes. *      ((Jick Nick))
[2010-03-07 16:56] [IC: Local Do] * There is an X-ray machine above the table, its control panel faces the door. *      ((Jick Nick))
[2010-03-07 16:57] [IC: Local Do] * The light it's the first thing he sees *      ((Nathan Spencer))
[2010-03-07 16:57] [IC: Local Do] * Caesar has short hair,a short shaven beard. He wears a blue fedora hat,blue shirt and gray jeans. *      ((Caesar Vasquez))
[2010-03-07 16:58] [IC: Local Do] * Any visible damage on the X-ray? *      ((Jick Nick))
